index,score
9,0.12791828338672276
49,0.06803692495860973
17,0.06803257069559342
34,0.06799862573767229
32,0.06799862573767228
39,0.06799862573767
19,0.06799862573765889
15,0.0679986257376563
13,0.06799862573765476
11,0.06799862573765367
3,0.0679986257376475
45,0.06799104118408826
18,0.06799104118408084
1,0.06799104118406897
43,0.06799004575558508
22,0.06799004575558198
48,0.06799004575557945
44,0.02726436676680455
50,0.024593129221699723
47,0.024198639111000272
24,0.023865498638256547
46,0.023836136422690953
4,0.023787918385005567
41,0.023709922616310247
16,0.023698019594576212
20,0.023692941174869683
37,0.023680682104548323
23,0.02366679743650375
27,0.023653226024697473
36,0.023639296995136064
10,0.02361464757983882
25,0.02361115366904518
31,0.0235943574648084
7,0.02356293622197355
38,0.023554807489908815
33,0.023545600987333576
8,0.023544482327347578
21,0.02354283401220981
12,0.023535016850142126
40,0.023531529791666086
5,0.02352393746356475
28,0.02352371647792678
14,0.023518860078644236
30,0.023517226688189
2,0.023515887865196223
29,0.02351565317520158
6,0.02351197787709826
35,0.02350963511528783
26,0.02350957377441786
42,0.0235095448369037
